Position, Nose, Neck, RShoulder, RElbow, RWrist, LShoulder, LElbow, LWrist, MidHip, RHip, RKnee, RAnkle, LHip, LKnee, LAnkle, REye, LEye, REar
sitting,"[0.46296296296296297,0.17391304347826086]","[0.4583333333333333,0.3423913043478261]","[0.37037037037037035,0.358695652173913]","[0.36574074074074076,0.6413043478260869]","[0.4398148148148148,0.782608695652174]","[0.5462962962962963,0.34782608695652173]","[0.5277777777777778,0.5869565217391305]","[0.5046296296296297,0.3858695652173913]","[0.4722222222222222,0.75]","[0.6712962962962963,0.7445652173913043]",null,"[0.5370370370370371,0.717391304347826]","[0.6620370370370371,0.7445652173913043]",null,"[0.4444444444444444,0.14130434782608695]","[0.4861111111111111,0.14130434782608695]","[0.4166666666666667,0.16847826086956522]",
laying,"[0.39814814814814814,0.5054347826086957]","[0.39351851851851855,0.5706521739130435]","[0.36574074074074076,0.5760869565217391]","[0.3287037037037037,0.717391304347826]",null,"[0.41203703703703703,0.5706521739130435]",null,null,null,null,null,null,null,null,"[0.3888888888888889,0.4945652173913043]","[0.39814814814814814,0.4891304347826087]","[0.375,0.5054347826086957]",
sitting,"[0.6064814814814815,0.1358695652173913]","[0.6342592592592593,0.266304347826087]","[0.5648148148148148,0.2717391304347826]","[0.5185185185185185,0.46195652173913043]","[0.5879629629629629,0.43478260869565216]","[0.7037037037037037,0.2554347826086957]","[0.75,0.40217391304347827]","[0.7268518518518519,0.45652173913043476]","[0.5601851851851852,0.6086956521739131]","[0.4722222222222222,0.7010869565217391]","[0.5740740740740741,0.9239130434782609]","[0.6481481481481481,0.5543478260869565]","[0.6620370370370371,0.5652173913043478]","[0.6666666666666666,0.8586956521739131]","[0.5925925925925926,0.11956521739130435]","[0.625,0.10869565217391304]",null,
standing,"[0.5787037037037037,0.2391304347826087]","[0.5787037037037037,0.29347826086956524]","[0.5462962962962963,0.29347826086956524]","[0.5370370370370371,0.3858695652173913]","[0.49074074074074076,0.41847826086956524]","[0.6064814814814815,0.29891304347826086]","[0.6203703703703703,0.3804347826086957]","[0.6666666666666666,0.42934782608695654]","[0.5601851851851852,0.4782608695652174]","[0.5694444444444444,0.6195652173913043]","[0.5833333333333334,0.75]","[0.6018518518518519,0.4782608695652174]","[0.5972222222222222,0.6195652173913043]","[0.5925925925925926,0.75]","[0.5694444444444444,0.22826086956521738]","[0.5833333333333334,0.22826086956521738]","[0.5601851851851852,0.22826086956521738]",
standing,"[0.5046296296296297,0.30434782608695654]","[0.5138888888888888,0.3858695652173913]","[0.4861111111111111,0.391304347826087]",null,null,"[0.5370370370370371,0.3858695652173913]","[0.5509259259259259,0.3858695652173913]",null,"[0.46296296296296297,0.5815217391304348]","[0.46296296296296297,0.7282608695652174]","[0.48148148148148145,0.8695652173913043]","[0.49537037037037035,0.5869565217391305]","[0.5046296296296297,0.7282608695652174]","[0.5462962962962963,0.9184782608695652]","[0.49537037037037035,0.29347826086956524]","[0.5138888888888888,0.29347826086956524]","[0.49074074074074076,0.30434782608695654]",
laying,sitting,"[0.5277777777777778,0.15217391304347827]","[0.5416666666666666,0.23369565217391305]","[0.48148148148148145,0.23369565217391305]","[0.46296296296296297,0.3423913043478261]","[0.4675925925925926,0.3804347826086957]","[0.5972222222222222,0.24456521739130435]","[0.625,0.34782608695652173]","[0.6342592592592593,0.375]","[0.5092592592592593,0.47282608695652173]","[0.49074074074074076,0.657608695652174]","[0.44907407407407407,0.8152173913043478]","[0.5694444444444444,0.45108695652173914]","[0.6388888888888888,0.5434782608695652]","[0.6666666666666666,0.5597826086956522]","[0.5138888888888888,0.13043478260869565]","[0.5370370370370371,0.13043478260869565]","[0.5046296296296297,0.13043478260869565]"
sitting,"[0.3611111111111111,0.45108695652173914]","[0.4305555555555556,0.44021739130434784]","[0.35185185185185186,0.4782608695652174]","[0.24537037037037038,0.5760869565217391]","[0.125,0.6521739130434783]","[0.4861111111111111,0.41847826086956524]","[0.4398148148148148,0.6358695652173914]","[0.35185185185185186,0.6467391304347826]","[0.4722222222222222,0.6902173913043478]",null,null,"[0.5555555555555556,0.6630434782608695]",null,null,"[0.3472222222222222,0.44565217391304346]","[0.36574074074074076,0.42391304347826086]",null,
laying,"[0.5879629629629629,0.5597826086956522]","[0.5648148148148148,0.5815217391304348]","[0.5601851851851852,0.5869565217391305]","[0.5601851851851852,0.6195652173913043]","[0.5694444444444444,0.6521739130434783]","[0.5740740740740741,0.5815217391304348]","[0.5833333333333334,0.6195652173913043]","[0.5833333333333334,0.6358695652173914]","[0.5555555555555556,0.6467391304347826]","[0.5694444444444444,0.7391304347826086]","[0.5787037037037037,0.8315217391304348]","[0.5694444444444444,0.6521739130434783]","[0.5925925925925926,0.7445652173913043]","[0.5925925925925926,0.8260869565217391]",null,null,"[0.5787037037037037,0.5543478260869565]",
standing,"[0.6018518518518519,0.2608695652173913]","[0.6203703703703703,0.30434782608695654]","[0.5833333333333334,0.30434782608695654]","[0.5694444444444444,0.40217391304347827]","[0.5740740740740741,0.375]","[0.6666666666666666,0.30978260869565216]","[0.6666666666666666,0.43478260869565216]","[0.6064814814814815,0.3804347826086957]","[0.5879629629629629,0.4945652173913043]",null,null,"[0.6574074074074074,0.5869565217391305]","[0.6620370370370371,0.8206521739130435]","[0.6759259259259259,0.9565217391304348]","[0.5925925925925926,0.24456521739130435]","[0.6111111111111112,0.24456521739130435]",null,
standing,"[0.49537037037037035,0.21195652173913043]","[0.5,0.2826086956521739]","[0.4675925925925926,0.28804347826086957]","[0.4583333333333333,0.3967391304347826]","[0.4166666666666667,0.3804347826086957]","[0.5324074074074074,0.2826086956521739]","[0.5601851851851852,0.3641304347826087]","[0.6018518518518519,0.3695652173913043]","[0.49074074074074076,0.47282608695652173]","[0.5,0.6358695652173914]","[0.5138888888888888,0.782608695652174]","[0.5324074074074074,0.46195652173913043]","[0.5277777777777778,0.6304347826086957]","[0.5324074074074074,0.782608695652174]","[0.4861111111111111,0.20652173913043478]","[0.5046296296296297,0.20108695652173914]","[0.47685185185185186,0.21195652173913043]",
