Position,SpineBaseX,SpineBaseY,SpineBaseZ,SpineMidX,SpineMidY,SpineMidZ,NeckX,NeckY,NeckZ,HeadX,HeadY,HeadZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,WristLeftX,WristLeftY,WristLeftZ,HandLeftX,HandLeftY,HandLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowRightX,ElbowRightY,ElbowRightZ,WristRightX,WristRightY,WristRightZ,HandRightX,HandRightY,HandRightZ,HipLeftX,HipLeftY,HipLeftZ,KneeLeftX,KneeLeftY,KneeLeftZ,AnkleLeftX,AnkleLeftY,AnkleLeftZ,FootLeftX,FootLeftY,FootLeftZ,HipRightX,HipRightY,HipRightZ,KneeRightX,KneeRightY,KneeRightZ,AnkleRightX,AnkleRightY,AnkleRightZ,FootRightX,FootRightY,FootRightZ,SpineShoulderX,SpineShoulderY,SpineShoulderZ,HandTipLeftX,HandTipLeftY,HandTipLeftZ,ThumbLeftX,ThumbLeftY,ThumbLeftZ,HandTipRightX,HandTipRightY,HandTipRightZ,ThumbRightX,ThumbRightY,ThumbRightZ
Sitting,-0.2232908,0.2325707,1.919117,-0.1444084,0.3991736,1.84959,-0.06654309,0.5624778,1.77667,-0.006228956,0.675904,1.782622,-0.2079118,0.4929978,1.752843,-0.3298024,0.3408142,1.681613,-0.2993668,0.1899299,1.609893,-0.2749301,0.1818987,1.584743,0.02838516,0.4831772,1.875305,0.08865272,0.2901398,1.904417,0.146799,0.2020755,1.774249,0.169063,0.1753665,1.68855,-0.2899626,0.2135728,1.851389,-0.3809917,0.3136745,1.646404,-0.2843446,0.02008429,1.512921,-0.2449454,-0.02620651,1.422041,-0.1504496,0.2448749,1.931834,0.08565657,0.256679,1.902394,-0.1287417,0.136213,1.880151,-0.146763,0.06498738,1.785232,-0.08596369,0.5224513,1.796202,-0.2338354,0.1867838,1.531002,-0.2147247,0.2021227,1.563083,0.1992854,0.1564134,1.646298,0.1327321,0.1449962,1.689534
Sitting,-0.2239442,0.2255781,1.920582,-0.1506242,0.3932456,1.86357,-0.08451661,0.557766,1.812412,-0.01750374,0.6706157,1.806472,-0.215564,0.4855408,1.772452,-0.3339837,0.3390835,1.692412,-0.3009871,0.1818573,1.610512,-0.2744809,0.1780289,1.585603,0.0141828,0.4880029,1.904766,0.0821059,0.2941262,1.913416,0.1433776,0.1839246,1.763049,0.1654738,0.1743231,1.689861,-0.289021,0.2044803,1.851346,-0.3947377,0.2592607,1.634802,-0.2877332,-0.02532501,1.488,-0.2509864,-0.1183732,1.469006,-0.1524219,0.2393018,1.934552,0.08634418,0.2567367,1.903722,-0.1254412,0.1307038,1.879526,-0.1437806,0.06122353,1.782969,-0.1004102,0.5172774,1.82587,-0.2665895,0.1548766,1.519004,-0.2160016,0.1980945,1.56075,0.1935008,0.157437,1.646649,0.1439691,0.1445875,1.648429
Sitting,-0.229476,0.2227568,1.922893,-0.1576707,0.3911867,1.871596,-0.08744322,0.5563383,1.816976,-0.02950415,0.6656096,1.826514,-0.220214,0.4803644,1.780348,-0.3448169,0.3271983,1.712229,-0.2984153,0.1753244,1.608264,-0.2240387,0.1626533,1.527601,0.009231602,0.4909563,1.913168,0.0725162,0.2966811,1.930656,0.1280148,0.1787308,1.846942,0.1680929,0.1747098,1.689426,-0.296836,0.2026594,1.851245,-0.3975839,0.264187,1.634084,-0.290395,-0.01907138,1.484786,-0.253761,-0.1120987,1.467808,-0.1566622,0.2353721,1.939604,0.0800976,0.2803144,1.930544,-0.176888,0.07923535,1.852182,-0.1862963,0.01236574,1.752001,-0.1046122,0.5157449,1.831867,-0.1861449,0.1428438,1.492434,-0.1724673,0.1512243,1.5545,0.1960639,0.1560323,1.649627,0.1311814,0.1441639,1.68975
Sitting,-0.233748,0.2120002,1.930709,-0.1694011,0.3802,1.892759,-0.1089667,0.5445464,1.851906,-0.04082167,0.6581697,1.849757,-0.234803,0.4671934,1.812663,-0.3512999,0.317759,1.722431,-0.2431437,0.1983663,1.589404,-0.2139734,0.1676272,1.543081,-0.006857922,0.4807124,1.933075,0.07032955,0.2900244,1.937498,0.1278725,0.1844379,1.838875,0.1625497,0.1758253,1.694411,-0.2985441,0.1911898,1.858689,-0.3905606,0.3329619,1.684344,-0.2920232,0.04538037,1.537628,-0.2476548,0.01006198,1.442221,-0.1627707,0.2263442,1.947434,0.07852006,0.282815,1.934996,-0.1153895,0.1302615,1.914448,-0.1346654,0.06386468,1.814896,-0.1238431,0.5042247,1.863629,-0.1868845,0.1434106,1.498355,-0.1627215,0.1438243,1.568091,0.186746,0.1587939,1.657299,0.1378595,0.1507055,1.66955
Sitting,-0.2261756,0.1966308,1.941268,-0.1700704,0.3732719,1.904673,-0.1147615,0.5421858,1.863594,-0.05095553,0.6531553,1.86753,-0.2399528,0.4646293,1.824138,-0.3547201,0.3146673,1.732426,-0.2544517,0.1973534,1.596769,-0.2165442,0.1685999,1.547156,-0.01256126,0.4425801,1.971675,0.06940163,0.2745566,1.949486,0.1356395,0.1984036,1.788468,0.156675,0.1754549,1.697638,-0.2887214,0.1745772,1.869392,-0.3824625,0.3198584,1.699278,-0.2839932,0.03301211,1.551119,-0.2361381,-0.0009971187,1.457284,-0.1572237,0.2127935,1.957626,0.0750058,0.280533,1.940686,-0.1174123,0.1264323,1.916701,-0.1362325,0.06068586,1.816439,-0.128394,0.5009055,1.875241,-0.1869666,0.1440803,1.501762,-0.1659884,0.1489527,1.575154,0.18374,0.1578625,1.661484,0.1193419,0.144902,1.707167
Sitting,-0.2273593,0.1933387,1.945063,-0.1736702,0.3697249,1.916573,-0.1213323,0.5406345,1.883353,-0.06152653,0.6505051,1.888234,-0.2429729,0.4640762,1.833797,-0.3581284,0.310977,1.748758,-0.2659505,0.1975011,1.610959,-0.2170417,0.1697894,1.551019,-0.01525536,0.4441231,1.972153,0.06068622,0.2741262,1.962165,0.1337538,0.198405,1.78124,0.1532817,0.1747096,1.701574,-0.2910177,0.1715269,1.87285,-0.3883888,0.3265074,1.716244,-0.28932,0.04366504,1.560951,-0.2422811,0.01303314,1.46493,-0.1572935,0.2093027,1.961915,0.07318189,0.2628227,1.949023,-0.1782583,0.07339685,1.866076,-0.1870029,0.008234501,1.764004,-0.1342875,0.4987317,1.893153,-0.1873522,0.1443323,1.504654,-0.1685113,0.1527599,1.574941,0.1802089,0.1574966,1.662353,0.1228542,0.1456787,1.691888
Sitting,-0.2238583,0.1900822,1.948074,-0.17469,0.3685068,1.92538,-0.1304698,0.5425627,1.90149,-0.06834543,0.652585,1.903494,-0.2539504,0.4611215,1.864107,-0.3656251,0.3124946,1.765868,-0.3031599,0.1643352,1.632455,-0.225608,0.1703371,1.547777,-0.03064508,0.447957,1.987267,0.02578745,0.3041899,1.986021,0.07011726,0.1626826,1.948863,0.1443166,0.1630155,1.703643,-0.2859716,0.1671602,1.877112,-0.3720512,0.368017,1.781065,-0.2851019,0.08393437,1.621226,-0.2404691,0.0563025,1.522345,-0.1551884,0.2072031,1.963794,0.07212756,0.2596818,1.951609,-0.1779447,0.07499096,1.868763,-0.1859077,0.01008136,1.766167,-0.1409624,0.4997142,1.908665,-0.1875557,0.1451174,1.506692,-0.1775041,0.1633218,1.580556,0.1831912,0.1580411,1.664981,0.1268453,0.1433509,1.6845
Sitting,-0.2257064,0.1901669,1.951509,-0.1799085,0.3704685,1.936205,-0.1357204,0.5454744,1.914181,-0.07528302,0.6550817,1.918261,-0.2591324,0.4665818,1.874879,-0.3685339,0.3156159,1.777595,-0.3355904,0.1568145,1.668082,-0.2251636,0.1693341,1.547097,-0.03854065,0.4500186,1.99643,0.02444483,0.3106081,1.992476,0.06704706,0.1695877,1.950471,0.1390211,0.1627442,1.710403,-0.2883378,0.1676178,1.87996,-0.3837064,0.3571264,1.786412,-0.2900752,0.07826229,1.621654,-0.2448163,0.05303396,1.522225,-0.1565666,0.2070017,1.967868,0.07123395,0.2567595,1.953004,-0.1774541,0.07492547,1.86986,-0.1853927,0.01009814,1.767116,-0.1466487,0.5026056,1.921439,-0.187331,0.1470357,1.507228,-0.1827866,0.1721943,1.58075,0.1773312,0.1577919,1.663821,0.1236145,0.1509506,1.6795
Sitting,-0.226827,0.1903837,1.95462,-0.1839091,0.3720396,1.945117,-0.1428401,0.5483722,1.92924,-0.08176316,0.6581954,1.934843,-0.2619899,0.4682889,1.880263,-0.3725762,0.3163747,1.786155,-0.2644143,0.2195774,1.640784,-0.2123487,0.1775099,1.553964,-0.03747601,0.4501523,1.996306,0.02229592,0.3095452,1.995644,0.109937,0.1983057,1.883226,0.1537413,0.1746513,1.707271,-0.2914755,0.1685058,1.884733,-0.3917063,0.3547274,1.791975,-0.2975643,0.08878451,1.607231,-0.253625,0.06749964,1.505669,-0.1564799,0.2068765,1.969776,0.06481869,0.2552215,1.959272,-0.1813322,0.07669555,1.876483,-0.1880252,0.01216701,1.773129,-0.152977,0.5051746,1.934753,-0.1866042,0.1439069,1.509352,-0.1701964,0.1644886,1.576382,0.1856567,0.1582015,1.668175,0.127789,0.1463917,1.684599
Sitting,-0.2725033,0.2070225,2.025951,-0.2094166,0.3820652,1.986821,-0.1437892,0.5489652,1.931493,-0.0864622,0.660091,1.948999,-0.2646959,0.4701582,1.885146,-0.3763004,0.3170809,1.793715,-0.3205978,0.1620372,1.664777,-0.2215537,0.1700876,1.546062,-0.03989637,0.454093,2.002738,0.01979757,0.2835633,2.001143,0.110352,0.1979583,1.880456,0.1541893,0.175032,1.705836,-0.3404732,0.1894741,1.959463,-0.3873231,0.3496258,1.785347,-0.2916662,0.08426539,1.600078,-0.2504612,0.04881382,1.502345,-0.1971502,0.2188907,2.036959,0.06488702,0.2546882,1.959901,-0.179381,0.07797037,1.875258,-0.1860075,0.01331457,1.77194,-0.1570387,0.5070812,1.942345,-0.1848709,0.1450677,1.508182,-0.1835275,0.1806491,1.574143,0.1862064,0.159896,1.668828,0.1255752,0.1467119,1.695751
